"ID предупреждения";"Текст предупреждения"
cannot_get_last_startup_time;"Не удалось получить время последнего старта устройства"
Идентификатор;"Тип прохода";"Временная метка"
21229914;"Выход";"2024-12-15 11:17:01"
21229916;"Выход";"2024-12-15 11:16:53"
21229918;"Выход";"2024-12-15 11:16:52"
21229919;"Вход";"2024-12-15 11:17:07"
21229920;"Вход";"2024-12-15 11:17:14"
21229921;"Выход";"2024-12-15 11:17:47"
21229924;"Выход";"2024-12-15 11:17:47"
21229925;"Выход";"2024-12-15 11:17:47"
21229926;"Вход";"2024-12-15 11:18:30"
21229927;"Вход";"2024-12-15 11:18:30"
21229928;"Вход";"2024-12-15 11:18:39"
21229929;"Вход";"2024-12-15 11:18:40"
21229930;"Выход";"2024-12-15 11:18:51"
21229931;"Выход";"2024-12-15 11:18:47"
21229934;"Выход";"2024-12-15 11:18:48"
21229935;"Вход";"2024-12-15 11:19:16"
21229936;"Вход";"2024-12-15 11:19:20"
21229937;"Вход";"2024-12-15 11:19:25"
21229938;"Вход";"2024-12-15 11:19:26"
21229939;"Вход";"2024-12-15 11:19:53"
21229940;"Вход";"2024-12-15 11:20:01"
21229941;"Вход";"2024-12-15 11:20:03"
21229942;"Вход";"2024-12-15 11:20:04"
21229943;"Вход";"2024-12-15 11:20:05"
21229944;"Выход";"2024-12-15 11:20:07"
21229945;"Выход";"2024-12-15 11:20:08"
21229946;"Выход";"2024-12-15 11:20:08"
21229947;"Выход";"2024-12-15 11:20:09"
21229948;"Выход";"2024-12-15 11:20:09"
21229951;"Выход";"2024-12-15 11:21:13"
21229952;"Выход";"2024-12-15 11:21:13"
21229953;"Вход";"2024-12-15 11:21:32"
21229954;"Вход";"2024-12-15 11:21:32"
21229955;"Выход";"2024-12-15 11:21:48"
21229956;"Выход";"2024-12-15 11:21:38"
21229957;"Выход";"2024-12-15 11:21:38"
21229958;"Вход";"2024-12-15 11:21:51"
21229959;"Вход";"2024-12-15 11:22:13"
21229960;"Выход";"2024-12-15 11:22:20"
21229961;"Выход";"2024-12-15 11:22:32"
21229962;"Выход";"2024-12-15 11:22:25"
21229963;"Выход";"2024-12-15 11:22:26"
21229964;"Выход";"2024-12-15 11:22:27"
21229965;"Выход";"2024-12-15 11:22:33"
21229966;"Выход";"2024-12-15 11:22:33"
21229973;"Вход";"2024-12-15 11:23:27"
